,eps_model,bidder_type,mean_tvc,std_tvc,mean_cpc_percent,std_cpc_percent,mean_cpc_avg,std_cpc_avg
4,1e-12,risky_50.0,1.7164190994172681,0.0,0.0,0.0,424.034372172247,3.754733978549153e-05
6,1e-12,robust,1.1650046795822964,0.0,0.0,0.0,599.2342970699208,1.5453399704858227e-05
7,1e-12,simple,1.1650046795822964,0.0,0.0,0.0,599.2316137203843,1.54327656654892e-05
12,0.0005,risky_50.0,1.705849694375818,0.004148118594733415,0.0,0.0,432.4343506071557,1.7160678971747638
14,0.0005,robust,1.5755321480383182,0.0019438026550466652,0.0,0.0,387.1548220044146,0.8009773464255231
15,0.0005,simple,1.1582048612403089,0.0021598129132391693,0.0,0.0,608.8023562454663,2.3918248871547068
20,0.001,risky_50.0,1.7038823719530585,0.003962491021806793,0.0,0.0,437.4420855791961,3.7646589064892844
22,0.001,robust,1.8730824010578606,0.005823394757930702,0.0,0.0,324.34147455528034,0.20525081731727865
23,0.001,simple,1.1519411361614982,0.0071526165404738875,0.0,0.0,613.0443267895525,0.9134450107251185
28,0.005,risky_50.0,1.697452672523039,0.013869900493083806,0.0,0.0,446.6732507939461,4.04628681879576
30,0.005,robust,2.038777595930924,0.007047300123909652,0.0,0.0,294.46682317750356,0.41667636513471834
31,0.005,simple,1.1284647263921446,0.002855683427393115,0.0,0.0,635.4161884414847,5.492476877033753
36,0.01,risky_50.0,1.6889334166493082,0.006257527245674383,0.0,0.0,455.9525703666921,3.1676878071160948
38,0.01,robust,2.0658230511700775,0.008175629291181876,0.0,0.0,287.9643210972202,0.4421974474781983
39,0.01,simple,1.1135670791405874,0.006759182541332891,0.0,0.0,653.5241714366101,0.9541994571578278
44,0.05,risky_50.0,1.6230690804355434,0.03307561305615744,0.0,0.0,509.4001118190722,11.369591726755507
46,0.05,robust,2.1050027855081845,0.001293175520530907,0.0,0.0,277.9190872531835,0.8698588151275215
47,0.05,simple,1.0335011974763872,0.007026890849219547,0.0,0.0,741.6392643271205,6.247599973770967
52,0.1,risky_50.0,1.58480328938723,0.0402343836162829,0.0,0.0,545.216069806228,10.23035622215132
54,0.1,robust,2.127810542943539,0.003828728690378157,0.0,0.0,280.72209561523454,1.7598327601289427
55,0.1,simple,1.0033206685828022,0.00671772617506479,0.0,0.0,789.4821550653561,6.349174439750267
